Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP3,2020,1_1_1_1,100314500,80251600,3107369802213,3128326246195,20956443982,47450304,6809321265,287193622,385609124,1785549986,1426090671,2413824931,7801404075,327936076,136186425,11183551,51026473,129539626,51026473,129539626,180566100,2458,1571,2741994627341,246667361207,126105096008,13559161638,0,17.769594192504883
SSP3,2020,1_1_1_10,100314500,80251600,3038910376664,3128326246195,89415869531,47450304,6809321265,287193622,258884181,2145962780,1172751050,4464708136,74229598188,327936076,136186425,11183551,35826851,144739248,35826851,144739248,180566100,2458,1571,2741994627341,246667361207,126105096008,13559161638,0,17.904312133789062
SSP3,2020,1_10_1_1,100314500,80251600,3106287074769,3128326246195,22039171426,47450304,6809321265,287193622,0,3242259644,0,3804299260,7848647328,327936076,136186425,11183551,0,180566100,0,180566100,180566100,2458,1571,2741994627341,246667361207,126105096008,13559161638,0,18.11595344543457
SSP3,2020,10_1_1_1,100314500,80251600,3087705509686,3128326246195,40620736509,47450304,6809321265,2871936223,8144054367,9705007033,3680213773,1561642511,7801111030,327936076,136186425,11183551,86879959,93686140,86879959,93686140,180566100,2458,1571,2741994627341,246667361207,126105096008,13559161638,0,17.96289825439453
SSP3,2025,1_1_0.5_1,117320663,93856530,3949321685964,3971251685089,21929999124,60195971,6706052093,325226253,323554430,2592386812,1124837720,1704137849,9093607992,357968048,134121041,12669812,46928265,164248928,46928265,164248928,211177193,2455,1567,3520671938398,288105417308,147113195064,15361134318,0,18.12542152404785
SSP3,2025,1_1_1_1,117320663,93856530,3947740674313,3971251685089,23511010775,60195971,6706052093,325226253,490245003,2328931136,1625615258,2844010368,9130734689,357968048,134121041,12669812,58674247,152502946,58674247,152502946,211177193,2455,1567,3520671938398,288105417308,147113195064,15361134318,0,18.09342384338379
SSP3,2025,1_1_1_10,117320663,93856530,3867643337795,3971251685089,103608347293,60195971,6706052093,325226253,310042365,2772443231,1300830462,5353579930,86779976983,357968048,134121041,12669812,41130559,170046634,41130559,170046634,211177193,2455,1567,3520671938398,288105417308,147113195064,15361134318,0,17.712526321411133
SSP3,2025,1_10_1_1,117320663,93856530,3946459647843,3971251685089,24792037246,60195971,6706052093,325226253,0,4063024430,0,4461278730,9176259765,357968048,134121041,12669812,0,211177193,0,211177193,211177193,2455,1567,3520671938398,288105417308,147113195064,15361134318,0,17.835006713867188
SSP3,2025,10_1_1_1,117320663,93856530,3923369815811,3971251685089,47881869278,60195971,6706052093,3252262539,10475521921,11865854398,4624181749,1762983634,9134816969,357968048,134121041,12669812,104217269,106959924,104217269,106959924,211177193,2455,1567,3520671938398,288105417308,147113195064,15361134318,0,18.516334533691406
SSP3,2030,1_1_0.5_1,149734199,119787359,5939374681280,5965919050071,26544368791,82075782,6873256522,402317982,440834162,3543615414,1435609642,2147110507,11619548775,422663409,137465130,15676720,59893679,209627879,59893679,209627879,269521558,2449,1559,5393273732602,366781483348,186857064662,19006769457,0,18.04685401916504
